gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_accessions	annotation_description
CP020618.1_499	519033	519233	201	-1	0.323	11	AGGAGG	GENOMAD.105856.CP	3.78e-08	50	0	0	0	1	NA	NA	PF14453.9;COG2104;TIGR01683	Sulfur carrier protein ThiS (thiamine biosynthesis)
CP020618.1_500	519217	520332	1116	-1	0.366	11	AGGAG	GENOMAD.140421.CP	1.483e-20	97	0	0	0	1	NA	NA	PF01266.27;K03153;COG0665;TIGR02352	Glycine/D-amino acid oxidase (deaminating)
CP020618.1_501	520325	520915	591	-1	0.335	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_502	521437	522717	1281	1	0.362	11	AGxAGG/AGGxGG	GENOMAD.168138.CP	3.753e-07	55	0	0	0	1	NA	NA	PF01306.22;K08194;TIGR00903;COG2223	major facilitator 4 family protein
CP020618.1_503	522895	523179	285	1	0.305	11	GGA/GAG/AGG	GENOMAD.158769.CP	0.0008489	39	0	0	0	1	NA	NA	PF03992.19;K11530;COG1359;TIGR03792	Quinol monooxygenase YgiN
CP020618.1_504	523275	525212	1938	1	0.343	11	AGGA	GENOMAD.161083.CP	1.657e-270	839	0	0	0	1	NA	NA	COG1289;K03468	Uncharacterized membrane protein YccC
CP020618.1_505	525285	525698	414	1	0.338	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_506	525855	526556	702	1	0.318	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_507	526680	527555	876	1	0.321	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_508	527647	528369	723	1	0.331	11	AGGAGG	GENOMAD.152456.PC	0.0006686	43	0	0	0	1	NA	NA	PF16701.8;K08365;TIGR02044;COG0789	Adenylate cyclase regulatory domain
CP020618.1_509	528487	529167	681	1	0.341	11	GGAG/GAGG	GENOMAD.126222.CP	0.000582	43	0	0	0	1	NA	NA	PF07840.15;TIGR03338;K22293;COG1802	phosphonate utilization associated transcriptional regulator
CP020618.1_510	529190	530728	1539	1	0.390	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_511	530772	532127	1356	1	0.381	11	GGAG/GAGG	GENOMAD.147883.CP	7.66e-81	279	0	0	0	1	NA	NA	K06155;COG2610	H+/gluconate symporter or related permease
CP020618.1_512	532286	533152	867	1	0.362	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_513	533672	533989	318	1	0.299	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_514	533989	535056	1068	1	0.244	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_515	535056	536243	1188	1	0.258	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_516	536294	536818	525	1	0.255	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_517	537150	537341	192	1	0.297	11	GGAG/GAGG	GENOMAD.216475.VP	5.817e-24	95	0	0	0	2561	Caudoviricetes	NA	NA	NA
CP020618.1_518	537496	537780	285	-1	0.323	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_519	537936	538631	696	1	0.376	11	AGGA	GENOMAD.183110.VC	7.347e-06	49	0	0	0	2561	Caudoviricetes	NA	PF13460.9;K05886;TIGR01829;COG0623	acetoacetyl-CoA reductase
CP020618.1_520	538756	539988	1233	1	0.391	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_521	540045	542210	2166	-1	0.339	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_522	542313	543854	1542	-1	0.328	11	AGGAGG	GENOMAD.107981.CP	1.088e-45	177	0	0	0	1	NA	NA	PF02541.19;K01524;TIGR03706;COG0248	exopolyphosphatase
CP020618.1_523	544070	544888	819	1	0.376	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_524	545276	546352	1077	-1	0.359	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_525	546508	546975	468	1	0.295	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_526	547014	548609	1596	-1	0.345	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_527	548793	549575	783	1	0.304	11	GGAG/GAGG	GENOMAD.176978.PC	2.13e-35	138	0	0	0	1	NA	NA	PF02517.19	Type II CAAX prenyl endopeptidase Rce1-like
CP020618.1_528	549598	550407	810	1	0.315	11	AGGAG	GENOMAD.176978.PC	8.545e-64	221	0	0	0	1	NA	NA	PF02517.19	Type II CAAX prenyl endopeptidase Rce1-like
CP020618.1_529	550537	551199	663	1	0.332	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_530	551192	551968	777	1	0.328	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_531	552100	553275	1176	1	0.369	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_532	553324	554673	1350	-1	0.330	11	GGAG/GAGG	GENOMAD.178810.CP	4.451e-22	103	0	0	0	2561	Caudoviricetes	NA	PF19465.2;PF00135.31;K01753;TIGR02035;COG3048	D-serine ammonia-lyase
CP020618.1_533	554775	556418	1644	-1	0.346	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_534	556721	557776	1056	-1	0.369	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_535	558223	559521	1299	1	0.333	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_536	559521	560156	636	1	0.340	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_537	560175	561119	945	1	0.334	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_538	561122	561799	678	1	0.348	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_539	561863	562564	702	-1	0.340	11	AGGAGG	GENOMAD.154359.CP	8.652e-08	55	0	0	0	1	NA	NA	PF04172.19;COG1346;TIGR00659;K05339	Putative effector of murein hydrolase
CP020618.1_540	562564	563019	456	-1	0.314	11	GGAG/GAGG	GENOMAD.159125.CP	8.929e-27	108	0	0	0	1	NA	NA	PF03788.17;K05338;COG1380	Putative effector of murein hydrolase LrgA, UPF0299 family
CP020618.1_541	563255	564022	768	-1	0.305	11	AGGAGG	GENOMAD.151870.CP	0.0003687	44	0	0	0	1	NA	NA	PF04397.18	LytTr DNA-binding domain
CP020618.1_542	564023	565777	1755	-1	0.333	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_543	566041	567441	1401	1	0.340	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_544	567695	568627	933	1	0.344	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_545	568728	569201	474	1	0.350	11	AGGAG/GGAGG	GENOMAD.213941.PC	8.931e-08	53	0	0	0	1	NA	NA	PF07274.15;K08996;COG3477	Uncharacterized membrane protein YagU, involved in acid resistance, DUF1440 family
CP020618.1_546	569257	570099	843	-1	0.321	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_547	570197	571690	1494	-1	0.305	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_548	571963	573789	1827	1	0.330	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_549	573843	575939	2097	-1	0.329	11	AGGAG/GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_550	576089	577471	1383	-1	0.322	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_551	577779	578591	813	1	0.306	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_552	578644	579255	612	-1	0.330	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_553	579675	580871	1197	-1	0.332	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_554	581012	581731	720	-1	0.275	11	GGAG/GAGG	GENOMAD.051256.PP	3.364e-70	238	0	0	0	1	NA	NA	NA	NA
CP020618.1_555	581747	582892	1146	-1	0.365	11	GGA/GAG/AGG	GENOMAD.147022.CP	4.473e-05	48	0	0	0	1	NA	NA	PF02595.18;COG1929;TIGR00045;K00865	Glycerate kinase
CP020618.1_556	583043	584539	1497	1	0.261	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_557	584542	584922	381	1	0.252	11	AGGAG	GENOMAD.191105.CP	8.582e-07	49	0	0	0	1	NA	NA	PF04138.17;COG2246	Putative flippase GtrA (transmembrane translocase of bactoprenol-linked glucose)
CP020618.1_558	585103	585978	876	1	0.312	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_559	586019	586462	444	-1	0.385	11	AGGAG	GENOMAD.161166.VV	2.834e-46	164	0	0	0	9913	Herelleviridae	NA	PF06737.17	Transglycosylase-like domain
CP020618.1_560	586811	587497	687	1	0.325	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_561	587667	587765	99	-1	0.293	11	AGGAGG	GENOMAD.056664.CC	8.432e-07	44	0	0	0	1	NA	NA	NA	NA
CP020618.1_562	587858	589297	1440	1	0.340	11	AGGAG	GENOMAD.169590.CP	1.331e-08	60	0	0	0	1	NA	NA	K03446;COG2814	Predicted arabinose efflux permease, MFS family
CP020618.1_563	589416	590216	801	1	0.312	11	GGAGG	GENOMAD.133420.CP	5.7e-07	53	0	0	0	1	NA	NA	PF00497.23;TIGR02285;K10036;COG0834	conserved hypothetical protein
CP020618.1_564	590191	590916	726	1	0.354	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_565	590913	591644	732	1	0.332	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_566	591746	592168	423	-1	0.277	11	GGA/GAG/AGG	GENOMAD.157976.CP	4.591e-11	62	0	0	0	1	NA	NA	PF01575.22;COG2030;K18290;TIGR01750	MaoC like domain
CP020618.1_567	592209	593456	1248	-1	0.308	11	AGGAG	GENOMAD.146592.CP	5.014e-09	61	0	0	0	1	NA	NA	PF02388.19;K05363;TIGR04421;COG2348	FemAB family
CP020618.1_568	593724	594083	360	1	0.281	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_569	594108	594704	597	1	0.275	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_570	595005	595520	516	1	0.283	11	GGAGG	GENOMAD.137611.CP	2.75e-06	49	0	0	0	1	NA	NA	PF04264.16;COG2353	Polyisoprenoid-binding periplasmic protein YceI
CP020618.1_571	595631	596101	471	1	0.333	11	AGGAG	GENOMAD.195776.CP	9.352e-05	44	0	0	0	1	NA	NA	PF19569.2;COG3832	START-like superfamily domain
CP020618.1_572	596173	596355	183	1	0.240	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_573	596480	597298	819	1	0.294	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_574	597423	598136	714	1	0.304	11	AGxAGG/AGGxGG	GENOMAD.136970.CP	1.083e-11	67	0	0	0	1	NA	NA	PF06180.14;COG2138;TIGR00109;K22011	Sirohydrochlorin ferrochelatase
CP020618.1_575	598347	600752	2406	1	0.357	11	GGA/GAG/AGG	GENOMAD.171050.CP	0.0005174	46	0	0	0	1	NA	NA	PF04324.18;PF17806.4;COG2906	Bacterioferritin-associated ferredoxin
CP020618.1_576	600764	601069	306	1	0.324	11	GGAG/GAGG	GENOMAD.143067.CP	1.997e-05	44	0	0	0	1	NA	NA	PF13806.9;K14578;COG2146;TIGR02377	Ferredoxin subunit of nitrite reductase or a ring-hydroxylating dioxygenase
CP020618.1_577	601060	602010	951	1	0.306	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_578	602216	605899	3684	1	0.366	11	AGGAGG	GENOMAD.168462.CP	3.523e-23	110	0	0	0	1	NA	NA	TIGR01580	respiratory nitrate reductase, alpha subunit
CP020618.1_579	605889	607448	1560	1	0.351	11	AGGAGG	GENOMAD.161583.CP	4.583e-114	379	0	0	0	1	NA	NA	PF14711.9;PF13247.9;TIGR01660;COG1140;K17051	nitrate reductase, beta subunit
CP020618.1_580	607441	608016	576	1	0.304	11	GGAGG	GENOMAD.178940.CP	2.141e-34	132	0	0	0	1	NA	NA	PF02613.18;TIGR00684;COG3381;K00374	nitrate reductase molybdenum cofactor assembly chaperone
CP020618.1_581	608009	608698	690	1	0.320	11	GGAG/GAGG	GENOMAD.168733.CP	1.319e-38	146	0	0	0	1	NA	NA	PF02665.17;COG2181;TIGR00351;K18500	Nitrate reductase gamma subunit
CP020618.1_582	608719	609171	453	1	0.349	11	AGGAG	GENOMAD.016421.CC	5.44e-32	123	0	0	0	1	NA	NA	K10851;COG3604;TIGR01817	Transcriptional regulator containing GAF, AAA-type ATPase, and DNA-binding Fis domains
CP020618.1_583	609181	610215	1035	1	0.329	11	GGA/GAG/AGG	GENOMAD.136246.CP	4.377e-06	51	0	0	0	1	NA	NA	PF14501.9;COG3920;TIGR01924	Two-component sensor histidine kinase, HisKA and HATPase domains
CP020618.1_584	610241	610894	654	1	0.300	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_585	611150	612307	1158	1	0.327	11	GGA/GAG/AGG	GENOMAD.154757.CP	1.239e-16	85	0	0	0	1	NA	NA	K10850;COG2223	Nitrate/nitrite transporter NarK
CP020618.1_586	612562	612978	417	-1	0.309	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_587	613211	613654	444	-1	0.306	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_588	613938	614297	360	1	0.267	11	AGGAG	GENOMAD.076830.PP	3.216e-48	168	0	0	0	1	NA	NA	NA	NA
CP020618.1_589	614662	615939	1278	1	0.326	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_590	616066	616419	354	-1	0.291	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_591	616595	617017	423	-1	0.279	11	AGGAG	GENOMAD.181438.CP	2.39e-61	207	0	0	0	1	NA	NA	PF16242.8;COG3871;TIGR04026;K07226	Pyridoxamine 5'-phosphate oxidase like
CP020618.1_592	617062	619167	2106	-1	0.278	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_593	620225	621673	1449	1	0.357	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_594	621715	622656	942	-1	0.305	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_595	622681	623304	624	-1	0.258	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_596	623469	624746	1278	1	0.293	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_597	624885	625313	429	1	0.289	11	GGAG/GAGG	GENOMAD.132658.CP	0.0003202	42	0	0	0	1	NA	NA	PF20024.2;K15973;TIGR04472;COG5631	mobile rSAM pair MarR family regulator
CP020618.1_598	625409	626764	1356	1	0.306	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_599	626919	628166	1248	1	0.318	11	AGGAGG	GENOMAD.136897.PC	5.855e-21	99	0	0	0	1	NA	NA	K14166;COG1276	Putative copper export protein
CP020618.1_600	628183	628794	612	1	0.317	11	AGGAG	GENOMAD.206829.PC	2.485e-11	65	0	0	0	1	NA	NA	PF07987.14;COG4549	Uncharacterized protein YcnI, contains cohesin/reeler-like domain
CP020618.1_601	628925	629341	417	1	0.321	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_602	629430	629831	402	1	0.323	11	AGGAGG	GENOMAD.152197.CP	6.243e-23	96	0	0	0	1	NA	NA	PF05301.14;TIGR04045;COG1246;K18815	putative N-acetyltransferase, MSMEG_0567 N-terminal domain family
CP020618.1_603	630233	638428	8196	1	0.341	11	AGGAG/GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_604	638575	639789	1215	-1	0.325	11	AGGAGG	GENOMAD.111131.VV	6.508e-11	67	0	0	0	2561	Caudoviricetes	NA	NA	NA
CP020618.1_605	639958	640518	561	-1	0.246	11	GGAG/GAGG	GENOMAD.208171.VV	1.745e-07	53	0	0	0	1	NA	NA	PF13744.9;K22299;TIGR02612;COG3620	mobile mystery protein A
CP020618.1_606	640671	640892	222	1	0.261	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_607	640896	641168	273	1	0.319	11	AGGAGG	GENOMAD.111065.VV	1.362e-35	130	0	0	0	2561	Caudoviricetes	NA	PF18010.4;COG3311;TIGR02417	Predicted DNA-binding transcriptional regulator AlpA
CP020618.1_608	641185	641343	159	1	0.308	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_609	641333	641746	414	1	0.242	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_610	641750	642085	336	1	0.324	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_611	642179	643048	870	1	0.349	11	GGAGG	GENOMAD.024962.VV	3.068e-15	79	0	0	0	2561	Caudoviricetes	NA	PF08800.13;PF08708.14	VirE N-terminal domain; Primase C terminal 1 (PriCT-1)
CP020618.1_612	643062	644771	1710	1	0.294	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_613	645080	645601	522	1	0.257	11	GGAGG	GENOMAD.222554.PV	1.708e-72	241	0	0	0	1	NA	NA	NA	NA
CP020618.1_614	645603	646001	399	1	0.296	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_615	646358	646690	333	1	0.291	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_616	646700	647452	753	1	0.297	11	GGA/GAG/AGG	GENOMAD.131437.VV	3.681e-101	328	0	0	0	2561	Caudoviricetes	NA	NA	NA
CP020618.1_617	647467	648057	591	1	0.267	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_618	648057	648269	213	1	0.305	11	GGAG/GAGG	GENOMAD.189122.VV	2.968e-26	102	0	0	0	1	NA	NA	PF16722.8	Pathogenicity island protein gp6 in Staphylococcus
CP020618.1_619	648324	648761	438	1	0.313	11	GGAG/GAGG	GENOMAD.131910.VV	1.088e-55	191	0	0	0	2561	Caudoviricetes	NA	COG5577	Spore coat protein CotF
CP020618.1_620	648758	649096	339	1	0.316	11	None	GENOMAD.156435.VV	2.094e-41	148	0	0	1	2561	Caudoviricetes	NA	PF11242.11;K01994;TIGR03879;COG1342	probable regulatory domain
CP020618.1_621	649098	649670	573	1	0.354	11	AGGAGG	GENOMAD.168355.VP	2.844e-30	120	0	0	1	2561	Caudoviricetes	NA	PF03592.19;COG3728;K07474	Phage terminase, small subunit
CP020618.1_622	649758	650258	501	1	0.331	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_623	650352	650654	303	-1	0.254	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_624	652020	652115	96	1	0.177	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_625	652446	654824	2379	1	0.279	11	None	GENOMAD.042996.CC	3.109e-05	50	0	0	0	1	NA	NA	TIGR02698	NA
CP020618.1_626	654914	655909	996	-1	0.338	11	AGGAG	GENOMAD.147577.CP	3.75e-34	137	0	0	0	1	NA	NA	PF16912.8;TIGR02197;K05886;COG1090	Glucose dehydrogenase C-terminus
CP020618.1_627	656229	657083	855	1	0.291	11	GGAG/GAGG	GENOMAD.196017.PC	6.785e-42	158	0	0	0	1	NA	NA	PF09375.13;PF13473.9;K07224;COG2822;TIGR04339	Iron uptake system EfeUOB, periplasmic (or lipoprotein) component EfeO/EfeM
CP020618.1_628	657080	658306	1227	1	0.324	11	None	GENOMAD.182149.PC	6.755e-57	207	0	0	0	1	NA	NA	PF04261.15;K15733;TIGR01412;COG2837	Tat-translocated enzyme
CP020618.1_629	658287	660017	1731	1	0.271	11	GGAGG	GENOMAD.159545.PC	2.41e-231	722	0	0	0	1	NA	NA	COG0672;K07243	High-affinity Fe2+/Pb2+ permease
CP020618.1_630	660088	660843	756	-1	0.288	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_631	660785	661009	225	-1	0.338	11	GGAG/GAGG	GENOMAD.126235.CP	0.0008829	38	0	0	0	1	NA	NA	PF02416.19;K03117;COG1826	Sec-independent protein translocase protein TatA
CP020618.1_632	661186	661308	123	1	0.195	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_633	661286	661699	414	1	0.271	11	GGA/GAG/AGG	GENOMAD.160948.CP	4.472e-10	59	0	0	0	1	NA	NA	PF13527.10;TIGR04431;COG3818;K18815	aminoglycoside N(6')-acetyltransferase, AacA4 family
CP020618.1_634	661787	663439	1653	-1	0.293	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_635	663794	665395	1602	1	0.330	11	AGxAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_636	665439	666584	1146	-1	0.301	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_637	666896	667762	867	1	0.323	11	AGxAGG/AGGxGG	GENOMAD.169853.PC	1.479e-55	198	0	0	0	1	NA	NA	PF06039.18;K00116;TIGR01320;COG0579	Malate:quinone oxidoreductase (Mqo)
CP020618.1_638	667746	668372	627	1	0.338	11	None	GENOMAD.169853.PC	2.115e-78	260	0	0	0	1	NA	NA	PF06039.18;K00116;TIGR01320;COG0579	Malate:quinone oxidoreductase (Mqo)
CP020618.1_639	668424	669797	1374	-1	0.293	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_640	669790	670464	675	-1	0.320	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_641	670594	671649	1056	1	0.270	11	GGAGG	GENOMAD.180954.CP	6.019e-36	143	0	0	0	1	NA	NA	PF02687.24;K09813;TIGR01185;COG4591	DevC protein
CP020618.1_642	671649	672314	666	1	0.327	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_643	672384	673340	957	-1	0.290	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_644	673512	673973	462	1	0.292	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_645	674072	675436	1365	1	0.273	11	4Base/6BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_646	675457	676662	1206	1	0.328	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_647	676717	677268	552	-1	0.245	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_648	677389	678036	648	1	0.330	11	AGGAGG	GENOMAD.138157.CP	5.892e-19	88	0	0	0	1	NA	NA	PF13437.9;TIGR02828	HlyD family secretion protein
CP020618.1_649	678049	680142	2094	1	0.325	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_650	680219	680848	630	-1	0.290	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_651	681042	681941	900	1	0.308	11	GGA/GAG/AGG	GENOMAD.181443.CP	1.585e-06	52	0	0	0	1	NA	NA	PF07859.16;K14731;COG0657;TIGR03101	alpha/beta hydrolase fold
CP020618.1_652	681993	682409	417	-1	0.288	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_653	682409	682888	480	-1	0.308	11	AGxAGG/AGGxGG	GENOMAD.177308.CP	4.618e-05	45	0	0	0	1	NA	NA	PF13279.9;K12500;COG0824;TIGR02799	Acyl-CoA thioesterase FadM
CP020618.1_654	683010	683957	948	1	0.276	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_655	683992	685041	1050	1	0.345	11	AGxAGG/AGGxGG	GENOMAD.142017.CP	2.766e-26	114	0	0	0	1	NA	NA	PF01070.21;TIGR02151;COG1304	isopentenyl-diphosphate delta-isomerase, type 2
CP020618.1_656	685102	685710	609	-1	0.338	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_657	685969	686331	363	1	0.331	11	AGxAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_658	686361	687371	1011	1	0.276	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_659	687427	688083	657	-1	0.306	11	AGGAG	GENOMAD.148482.CP	1.597e-12	69	0	0	0	1	NA	NA	PF03473.20;COG2258;K03831	Uncharacterized conserved protein YiiM, contains MOSC domain
CP020618.1_660	688242	688931	690	1	0.294	11	AGGAG/GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_661	688965	690026	1062	-1	0.287	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_662	690283	691218	936	1	0.339	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_663	691375	692493	1119	1	0.341	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_664	692582	693463	882	1	0.374	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
CP020618.1_665	693541	694152	612	1	0.306	11	AGGAG	GENOMAD.133841.CP	1.053e-05	48	0	0	0	1	NA	NA	PF01613.21;COG1853;TIGR02296;K21185	NADH-FMN oxidoreductase RutF, flavin reductase (DIM6/NTAB) family
CP020618.1_666	694249	695541	1293	1	0.345	11	AGxAGG/AGGxGG	GENOMAD.130632.CP	2.208e-89	303	0	0	0	1	NA	NA	K03315;COG1757	Na+/H+ antiporter NhaC
CP020618.1_667	695662	696180	519	1	0.304	11	AGxAGG/AGGxGG	GENOMAD.211782.CP	1.35e-74	247	0	0	0	1	NA	NA	PF08327.14;COG3832	Activator of Hsp90 ATPase homolog 1-like protein
CP020618.1_668	696241	696999	759	-1	0.277	11	GGAG/GAGG	GENOMAD.183543.CP	1.114e-07	55	0	0	0	1	NA	NA	PF10740.12;PF01418.20;COG1737;K03481;TIGR03127	DNA-binding transcriptional regulator, MurR/RpiR family, contains HTH and SIS domains
CP020618.1_669	697201	698802	1602	1	0.329	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA
